chinese,pinyin,english,thai
物理基础设施要素,wù lǐ jī chǔ shè shī yào sù,Physical Infrastructure Elements,องค์ประกอบโครงสร้างพื้นฐานทางกายภาพ
预工程化解决方案,yù gōng chéng huà jiě jué fāng àn,Pre-engineered Solution,โซลูชันที่ออกแบบสำเร็จรูปล่วงหน้า
预工程化,yù gōng chéng huà,Pre-Engineering,การออกแบบวิศวกรรมล่วงหน้า
预制解决方案,yù zhì jiě jué fāng àn,Pre-Manufactured Solutions,โซลูชันสำเร็จรูปจากโรงงาน (pre-manufactured)
公共和社会关系,gōng gòng hé shè huì guān xì,Public and Community Relations,ความสัมพันธ์กับสาธารณะและชุมชน
IT技术快速变化,IT jì shù kuài sù biàn huà,Rapid Changes in IT Technology,การเปลี่ยนแปลงเทคโนโลยี IT อย่างรวดเร็ว
可靠性,kě kào xìng,Reliability,ความน่าเชื่อถือของระบบ
适配尺寸系统,shì pèi chǐ cùn xì tǒng,Right Sized System,ระบบที่ออกแบบขนาดพอดีกับความต้องการ
投资回报率,tóu zī huí bào lǜ,ROI (Return on Investment),ผลตอบแทนจากการลงทุน (ROI)
服务器,fú wù qì,Server,เซิร์ฟเวอร์
服务器整合,fú wù qì zhěng hé,Server Consolidation,การรวมเซิร์ฟเวอร์
单点故障,dān diǎn gù zhàng,Single Point of Failure,จุดที่เสียแล้วระบบทั้งหมดล่ม (single point of failure)
标准化,biāo zhǔn huà,Standardization,การกำหนดมาตรฐาน (standardization)
存储,cún chǔ,Storage,ระบบจัดเก็บข้อมูล (storage)
系统架构,xì tǒng jià gòu,System Architecture,สถาปัตยกรรมของระบบ
技术更新换代,jì shù gēng xīn huàn dài,Technology Refresh,การอัปเกรดเทคโนโลยี (technology refresh)
技术趋势,jì shù qū shì,Technology Trends,แนวโน้มเทคโนโลยี
电信网络,diàn xìn wǎng luò,Telecommunication Networks,เครือข่ายโทรคมนาคม
总拥有成本,zǒng yōng yǒu chéng běn,Total Cost of Ownership (TCO),ต้นทุนรวมในการเป็นเจ้าของ (TCO)
传统数据中心物理基础设施,chuán tǒng shù jù zhōng xīn wù lǐ jī chǔ shè shī,Traditional Data Center Physical Infrastructure,โครงสร้างพื้นฐาน data center แบบดั้งเดิม
配置不足,pèi zhì bù zú,Under-Sizing,การออกแบบไม่เพียงพอ (under-sizing)
正常运行时间,zhèng cháng yùn xíng shí jiān,Uptime,เวลาที่ระบบทำงานได้ปกติ (uptime)
虚拟化,xū nǐ huà,Virtualization,ระบบ virtualization (การจำลองเสมือน)
工作效率,gōng zuò xiào lǜ,Work Efficiency,ประสิทธิภาพในการทำงาน
劳动者,láo dòng zhě,Worker / Laborer,ผู้ใช้แรงงาน
机房,jīfáng,Server Room / Equipment Room,ห้องเซิร์ฟเวอร์ / ห้องเครื่อง
机柜 / 机架,jīguì / jījià,Rack / Cabinet,ตู้แร็ค
值班,zhíbān,On-Duty Shift,เข้าเวร / อยู่เวร
巡检,xúnjiǎn,Inspection / Patrol,การตรวจตรา / เดินตรวจ
工单,gōngdān,Work Order / Ticket,ใบสั่งงาน
故障,gùzhàng,Fault / Failure,ความขัดข้อง / เสีย
告警 / 报警,gàojǐng / bàojǐng,Alarm,สัญญาณเตือน
应急预案,yìngjí yù'àn,Emergency Plan,แผนฉุกเฉิน
标准作业程序 (SOP),biāozhǔn zuòyè chéngxù,Standard Operating Procedure (SOP),ขั้นตอนปฏิบัติงานมาตรฐาน (SOP)
在线率 / 正常运行时间,zàixiànlǜ / zhèngcháng yùnxíng shíjiān,Uptime,อัตราการออนไลน์ / เวลาทำงานปกติ
交接班,jiāojiēbān,Shift Handover,ส่งมอบเวร / เปลี่ยนกะ
闭环,bìhuán,Closed-Loop,ปิดงานครบวงจร / ปิดลูป
柴油发电机,cháiyóu fādiànjī,Diesel Generator,เครื่องกำเนิดไฟฟ้าดีเซล
配电柜,pèidiànguì,Power Distribution Cabinet,ตู้จ่ายไฟ
高压 / 低压,gāoyā / dīyā,High / Low Voltage,แรงดันสูง / แรงดันต่ำ
双路供电,shuānglù gòngdiàn,Dual Power Feed,จ่ายไฟสองทาง
自动转换开关 (ATS),zìdòng zhuǎnhuàn kāiguān,Automatic Transfer Switch (ATS),สวิตช์สลับแหล่งจ่ายไฟอัตโนมัติ (ATS)
负载 / 负荷,fùzài / fùhè,Load,โหลด / ภาระไฟฟ้า
蓄冷罐,xùlěngguàn,Thermal Storage Tank,ถังกักเก็บความเย็น
冷冻水系统,lěngdòngshuǐ xìtǒng,Chilled Water System,ระบบน้ำเย็น
风冷 / 水冷,fēnglěng / shuǐlěng,Air Cooling / Water Cooling,ระบายความร้อนด้วยลม / น้ำ
液冷,yèlěng,Liquid Cooling,ระบายความร้อนด้วยของเหลว
冷通道 / 热通道,lěng tōngdào / rè tōngdào,Cold Aisle / Hot Aisle,ช่องทางเย็น / ช่องทางร้อน
温湿度,wēnshīdù,Temperature & Humidity,อุณหภูมิและความชื้น
新风系统,xīnfēng xìtǒng,Fresh Air System,ระบบอากาศบริสุทธิ์
冷板式液冷,lěngbǎnshì yèlěng,Cold Plate Liquid Cooling,ระบายความร้อนด้วยของเหลวแบบ cold plate
光纤,guāngxiān,Optical Fiber,ไฟเบอร์ออปติก / ใยแก้วนำแสง
带宽,dàikuān,Bandwidth,แบนด์วิดท์
网络设备,wǎngluò shèbèi,Network Equipment,อุปกรณ์เครือข่าย
云计算,yúnjìsuàn,Cloud Computing,คลาวด์คอมพิวติ้ง
算力,suànlì,Computing Power,พลังประมวลผล
智算中心,zhìsuàn zhōngxīn,AI / Intelligent Computing Center,ศูนย์ประมวลผลอัจฉริยะ (AI)
上架 / 下架,shàngjià / xiàjià,Rack In / Rack Out,ติดตั้ง / ถอดอุปกรณ์เข้า-ออกแร็ค
气体灭火,qìtǐ mièhuǒ,Gas Fire Suppression,ดับเพลิงด้วยแก๊ส
门禁系统,ménjìn xìtǒng,Access Control System,ระบบควบคุมประตู
监控系统,jiānkòng xìtǒng,Monitoring / CCTV System,ระบบมอนิเตอร์ / กล้องวงจรปิด
动环监控,dònghuán jiānkòng,Power & Environment Monitoring,มอนิเตอร์ไฟฟ้าและสภาพแวดล้อม
安全规范,ānquán guīfàn,Safety Regulations,ระเบียบความปลอดภัย
事故上报,shìgù shàngbào,Incident Escalation / Reporting,รายงานเหตุ / รายงานอุบัติการณ์
电能使用效率 (PUE),diànnéng shǐyòng xiàolǜ,Power Usage Effectiveness (PUE),ประสิทธิภาพการใช้พลังงานไฟฟ้า (PUE)
N+1 冗余,N jiā yī róngyú,N+1 Redundancy,สำรองแบบ N+1
2N,èr N,2N Redundancy,สำรองเท่าตัว (2N)
容错,róngcuò,Fault Tolerance,ทนต่อความผิดพลาด
轮班 / 倒班,lúnbān / dǎobān,Shift Rotation,ทำงานเป็นกะ / หมุนเวียนกะ
夜班 / 白班,yèbān / báibān,Night Shift / Day Shift,กะดึก / กะกลางวัน
薪资 / 工资,xīnzī / gōngzī,Salary,เงินเดือน
福利,fúlì,Benefits,สวัสดิการ
年终奖,niánzhōngjiǎng,Year-End Bonus,โบนัสปลายปี
试用期,shìyòngqī,Probation Period,ช่วงทดลองงาน
转正,zhuǎnzhèng,Become a Permanent Employee,บรรจุเป็นพนักงานประจำ
职业发展,zhíyè fāzhǎn,Career Development,ความก้าวหน้าในอาชีพ
我能吃苦耐劳，可以适应倒班和夜班。,"wǒ néng chīkǔ nàiláo, kěyǐ shìyìng dǎobān hé yèbān",I can endure hard work and adapt to shift rotation and night shifts.,ผมอดทนต่องานหนัก รับกะและกะดึกได้
我责任心强，做事细心认真。,"wǒ zérènxīn qiáng, zuòshì xìxīn rènzhēn",I have a strong sense of responsibility and work carefully and diligently.,ผมมีความรับผิดชอบสูง ทำงานละเอียดรอบคอบ
我会严格按照SOP和应急预案操作。,wǒ huì yángé ànzhào SOP hé yìngjí yù'àn cāozuò,I will operate strictly according to the SOP and emergency plans.,ผมจะทำตาม SOP และแผนฉุกเฉินอย่างเคร่งครัด
遇到超出权限的情况，我会第一时间上报。,"yùdào chāochū quánxiàn de qíngkuàng, wǒ huì dì-yī shíjiān shàngbào","If a situation is beyond my authority, I will report it immediately.",เมื่อเจอเรื่องเกินอำนาจ ผมจะรายงานทันที
我的学习能力强，能快速上手新知识。,"wǒ de xuéxí nénglì qiáng, néng kuàisù shàngshǒu xīn zhīshi",I learn quickly and can pick up new knowledge fast.,ผมเรียนรู้เร็ว รับความรู้ใหม่ได้ไว
我希望能长期稳定地在贵公司发展。,wǒ xīwàng néng chángqī wěndìng de zài guì gōngsī fāzhǎn,I hope to grow with your company stably over the long term.,ผมอยากเติบโตกับบริษัทระยะยาวอย่างมั่นคง
我中文流利，可以在中泰团队之间沟通协调。,"wǒ Zhōngwén liúlì, kěyǐ zài Zhōng-Tài tuánduì zhījiān gōutōng xiétiáo",I speak fluent Chinese and can coordinate between Chinese and Thai teams.,ผมพูดจีนคล่อง ช่วยประสานทีมจีน-ไทยได้
数据中心的稳定运行是第一位的。,shùjù zhōngxīn de wěndìng yùnxíng shì dì-yī wèi de,Stable operation of the data center comes first.,ความเสถียรของดาต้าเซ็นเตอร์คือสิ่งสำคัญที่สุด
满足 / 满意,mǎnzú / mǎnyì,satisfy / satisfied,ทำให้พอใจ / รู้สึกพอใจ
实践 / 练习,shíjiàn / liànxí,practice,การฝึกฝน / การปฏิบัติ
迅速地,xùnsù de,rapidly,อย่างรวดเร็ว
蔓延 / 扩散,mànyán / kuòsàn,spreading,การแพร่กระจาย / ลุกลาม
底层的 / 潜在的,dǐcéng de / qiánzài de,underlying,ที่อยู่เบื้องหลัง / เป็นพื้นฐาน
出货量,chūhuòliàng,shipments,ปริมาณการจัดส่งสินค้า
专有的,zhuānyǒu de,proprietary,ที่เป็นกรรมสิทธิ์เฉพาะของบริษัท
保修,bǎoxiū,warranty,การรับประกัน
普通的,pǔtōng de,ordinary,ธรรมดา / ทั่วไป
善意的,shànyì de,well-intentioned,มีเจตนาดี
绝缘,juéyuán,insulation,ฉนวน / การเป็นฉนวนไฟฟ้า
静压腔（送风夹层）,jìngyāqiāng (sòngfēng jiācéng),plenum,ช่องทางลมเย็นของระบบ cooling (plenum)
表明 / 指示,biǎomíng / zhǐshì,indicate / indicates,บ่งชี้ / แสดงให้เห็น
事故 / 事件,shìgù / shìjiàn,incident,เหตุการณ์ / อุบัติการณ์
跨越 / 涵盖,kuàyuè / hángài,spans,ทอดข้าม / ครอบคลุม
展示 / 证明,zhǎnshì / zhèngmíng,demonstrate,แสดงให้เห็น / พิสูจน์
努力,nǔlì,effort,ความพยายาม
助理级 / 初级,zhùlǐ jí / chūjí,Associate level,ระดับเริ่มต้น (Associate)
云业务,yún yèwù,Cloud Business / Cloud Services,ธุรกิจ / บริการคลาวด์
体系,tǐxì,System / Framework,ระบบ / โครงสร้างเชิงระบบ
配电系统,pèidiàn xìtǒng,Power Distribution System,ระบบจ่ายไฟฟ้า
肺,fèi,Lung,ปอด
冷却,lěngquè,Cooling,การระบายความร้อน / ทำความเย็น
末端,mòduān,Terminal / End Unit,ส่วนปลาย / ยูนิตปลายทาง
冷池 / 热池,lěngchí / rèchí,Cold Pool / Hot Pool (aisle containment),พื้นที่ปิดล้อมช่องเย็น / ช่องร้อน
防护,fánghù,Protection,การป้องกัน
施工,shīgōng,Construction Work,การก่อสร้าง / งานติดตั้ง
从业人员,cóngyè rényuán,Practitioners / Working Personnel,ผู้ปฏิบัติงานในสายอาชีพ
配电段 (PC段),pèidiàn duàn,Power Distribution Section (PC Section),เซกชันจ่ายไฟ (PC section)
跳闸,tiàozhá,Trip (Breaker Trip),เบรกเกอร์ตัด / ทริป
焊工,hàngōng,Welder,ช่างเชื่อม
扛,káng,Carry on the Shoulder,แบก (บนบ่า/ไหล่)
违章,wéizhāng,Violation of Rules / Regulations,การฝ่าฝืนกฎระเบียบ
委员会,wěiyuánhuì,Committee,คณะกรรมการ
伏,fú,Volt (V),โวลต์
交流电,jiāoliúdiàn,Alternating Current (AC),ไฟฟ้ากระแสสลับ
