chinese,pinyin,english,thai
设备隔离与分区,shè bèi gé lí yǔ fēn qū,Isolating and Partitioning Equipment,การแยกและกั้นพื้นที่อุปกรณ์
IT设备,IT shè bèi,IT Equipment,อุปกรณ์ IT
IT机柜,IT jī guì,IT Rack,ตู้ rack IT
局域网机房,jú yù wǎng jī fáng,LAN Room,ห้อง LAN
装卸货平台,zhuāng xiè huò píng tái,Loading Dock,ท่าขนถ่ายสินค้า
安装导轨,ān zhuāng dǎo guǐ,Mounting Rail,รางติดตั้งอุปกรณ์ในตู้ rack
多厂商兼容性,duō chǎng shāng jiān róng xìng,Multi-Vendor Compatibility,ความเข้ากันได้ระหว่างหลายผู้ผลิต
网络机房,wǎng luò jī fáng,Network Rooms,ห้องเครือข่าย (network room)
穿孔门,chuān kǒng mén,Perforated Door,ประตูตู้ rack แบบมีรูระบายอากาศ
穿孔机柜门（通风）,chuān kǒng jī guì mén,Perforated Rack Doors (Ventilation),ประตูตู้ rack แบบมีรู (ระบายอากาศ)
物理结构,wù lǐ jié gòu,Physical Structure,โครงสร้างทางกายภาพ
快拆铰链销,kuài chāi jiǎo liàn xiāo,Quick-Release Hinge Pin,สลักบานพับแบบถอดเร็ว
快拆侧板,kuài chāi cè bǎn,Quick-Release Side Panel,แผงข้างตู้ rack แบบถอดเร็ว
机柜深度,jī guì shēn dù,Rack Depth,ความลึกของตู้ rack
机柜外壳,jī guì wài ké,Rack Enclosure,ตู้ rack แบบปิด (rack enclosure)
机架安装,jī jià ān zhuāng,Rack Mounting,การติดตั้งบนตู้ rack (rack mounting)
机架系统,jī jià xì tǒng,Rack System,ระบบตู้ rack
机架优化形态,jī jià yōu huà xíng tài,Rack-Optimized Form,รูปแบบที่ออกแบบให้เหมาะกับตู้ rack
机柜系统,jī guì xì tǒng,Rack/Cabinet System,ระบบตู้ rack
机架与物理结构,jī jià yǔ wù lǐ jié gòu,Racks and Physical Structure,ตู้ rack และโครงสร้างทางกายภาพ
架空地板,jià kōng dì bǎn,Raised Floor,พื้นยกระดับ (raised floor)
后部安装,hòu bù ān zhuāng,Rear Mounting,การติดตั้งด้านหลังตู้ rack
服务器迁移,fú wù qì qiān yí,Server Migration,การย้ายเซิร์ฟเวอร์ (server migration)
服务器出货量,fú wù qì chū huò liàng,Server Unit Shipments,ยอดจัดส่งเซิร์ฟเวอร์
空间,kōng jiān,Space (Occupancy Data),พื้นที่ (ข้อมูลการใช้พื้นที่)
分体式后门,fēn tǐ shì hòu mén,Split Rear Door (French Door),ประตูหลังแบบแยกสองบาน (split rear door)
结构楼板,jié gòu lóu bǎn,Structural Floor Slab,พื้นโครงสร้างอาคาร
电信设备,diàn xìn shè bèi,Telecommunications Equipment,อุปกรณ์โทรคมนาคม
U高度,U gāo dù,U Height,ความสูงหน่วย U ของตู้ rack
已用 / 空闲,yǐ yòng / kòng xián,Used / Free,ใช้แล้ว / ว่าง
厂商中立机柜,chǎng shāng zhōng lì jī guì,Vendor-Neutral Rack,ตู้ rack ที่ใช้ได้กับทุกยี่ห้อ
设备检修禁止合闸,shè bèi jiǎn xiū jìn zhǐ hé zhá,"""Equipment Under Maintenance, Do Not Switch On"" Sign","ป้าย ""กำลังซ่อมบำรุง ห้ามสับสวิตช์"""
1211干粉灭火器,yī èr yī yī gān fěn miè huǒ qì,1211 Dry Powder Fire Extinguisher,ถังดับเพลิงผงเคมีแห้งรุ่น 1211
出入管制与安全,chū rù guǎn zhì yǔ ān quán,Access and Security,การควบคุมการเข้าออกและความปลอดภัย
门禁,mén jìn,Access Control,ระบบควบคุมการเข้าออก (access control)
访问需求,fǎng wèn xū qiú,Access Requirements,ข้อกำหนดในการเข้าถึง
意外喷放,yì wài pēn fàng,Accidental Discharge,การปล่อยสารดับเพลิงโดยไม่ตั้งใจ
吸音材料,xī yīn cái liào,Acoustical Material,วัสดุดูดซับเสียง
主管当局,zhǔ guǎn dāng jú,AHJ (Authority Having Jurisdiction),หน่วยงานที่มีอำนาจกำกับดูแล (AHJ)
报警显示盘,bào jǐng xiǎn shì pán,Annunciator Panel,แผงแสดงผลสัญญาณเตือน
有管辖权的主管当局,yǒu guǎn xiá quán de zhǔ guǎn dāng jú,Authority Having Jurisdiction (AHJ),หน่วยงานที่มีอำนาจกำกับดูแล (AHJ)
生物识别,shēng wù shí bié,Biometric Identification,การระบุตัวตนด้วยไบโอเมตริก
楼宇安防系统,lóu yǔ ān fáng xì tǒng,Building Security System,ระบบรักษาความปลอดภัยของอาคาร
四氯化碳气体灭火器,sì lǜ huà tàn qì tǐ miè huǒ qì,Carbon Tetrachloride Gas Extinguisher,ถังดับเพลิงแก๊สคาร์บอนเตตราคลอไรด์
门禁卡与保安安防,mén jìn kǎ yǔ bǎo ān ān fáng,Card-and-Guard Security,ระบบรักษาความปลอดภัยด้วยบัตรและเจ้าหน้าที่รักษาความปลอดภัย
一级等级,yī jí děng jí,Class 1 Rating,เรตติ้งระดับ Class 1
二氧化碳灭火器,èr yǎng huà tàn miè huǒ qì,CO2 Fire Extinguisher,ถังดับเพลิงคาร์บอนไดออกไซด์ (CO2)
密码锁,mì mǎ suǒ,Combination Lock,กุญแจรหัส (combination lock)
网络安全,wǎng luò ān quán,Cybersecurity,ความปลอดภัยทางไซเบอร์
干粉灭火器,gān fěn miè huǒ qì,Dry Chemical Extinguisher,ถังดับเพลิงผงเคมีแห้ง
功能丧失导致的经济损失,gōng néng sàng shī dǎo zhì de jīng jì sǔn shī,Economic Loss from Loss of Function,ความเสียหายทางเศรษฐกิจจากการสูญเสียการทำงานของระบบ
记录丢失导致的经济损失,jì lù diū shī dǎo zhì de jīng jì sǔn shī,Economic Loss from Loss of Records,ความเสียหายทางเศรษฐกิจจากการสูญเสียข้อมูล/บันทึก
设备价值损失导致的经济损失,shè bèi jià zhí sǔn shī dǎo zhì de jīng jì sǔn shī,Economic Loss from Value of Equipment,ความเสียหายทางเศรษฐกิจจากมูลค่าอุปกรณ์ที่สูญเสีย
边缘保护条,biān yuán bǎo hù tiáo,Edge Trim,แถบกันขอบ
电子锁,diàn zǐ suǒ,Electronic Lock,กุญแจอิเล็กทรอนิกส์
紧急电源关闭系统,jǐn jí diàn yuán guān bì xì tǒng,EPO (Emergency Power Off) System,ระบบ EPO (ตัดไฟฉุกเฉิน)
紧急电源切断按钮,jǐn jí diàn yuán qiē duàn àn niǔ,EPO Button (Emergency Power Off),ปุ่ม EPO ตัดไฟฉุกเฉิน
防爆措施,fáng bào cuò shī,Explosion-Proof Measures,มาตรการป้องกันการระเบิด
伪造身份,wěi zào shēn fèn,Falsify Identity,การปลอมแปลงตัวตน
火,huǒ,Fire,ไฟ (อัคคีภัย)
火警警铃,huǒ jǐng jǐng líng,Fire Alarm Bell,กระดิ่งสัญญาณเตือนไฟไหม้
火灾报警控制盘,huǒ zāi bào jǐng kòng zhì pán,Fire Alarm Control Panel,แผงควบคุมสัญญาณเตือนไฟไหม้
手动报警按钮,shǒu dòng bào jǐng àn niǔ,Fire Alarm Pull Station,จุดดึงสัญญาณเตือนไฟไหม้ด้วยมือ
火灾报警系统,huǒ zāi bào jǐng xì tǒng,Fire Alarm System,ระบบสัญญาณเตือนไฟไหม้
防火阀,fáng huǒ fá,Fire Damper,แดมเปอร์กันไฟในท่อลม
火灾探测系统,huǒ zāi tàn cè xì tǒng,Fire Detection System,ระบบตรวจจับอัคคีภัย
火警电话,huǒ jǐng diàn huà,Fire Emergency Phone,โทรศัพท์แจ้งเหตุเพลิงไหม้
灭火器,miè huǒ qì,Fire Extinguisher,ถังดับเพลิง
消防栓,xiāo fáng shuān,Fire Hydrant,หัวจ่ายน้ำดับเพลิง (fire hydrant)
消防监督员,xiāo fáng jiān dū yuán,Fire Marshal,เจ้าหน้าที่ตรวจสอบความปลอดภัยด้านอัคคีภัย
消防行业最佳实践,xiāo fáng háng yè zuì jiā shí jiàn,Fire Protection Industry Best Practices,แนวปฏิบัติที่ดีที่สุดในอุตสาหกรรมป้องกันอัคคีภัย
消防系统,xiāo fáng xì tǒng,Fire Protection System,ระบบป้องกันอัคคีภัย
耐火等级,nài huǒ děng jí,Fire Rating,ระดับการทนไฟ
火灾风险缓解,huǒ zāi fēng xiǎn huǎn jiě,Fire Risk Mitigation,การลดความเสี่ยงจากอัคคีภัย
防火保险柜,fáng huǒ bǎo xiǎn guì,Fire Safe Vault,ตู้เซฟกันไฟ
消防喷淋头,xiāo fáng pēn lín tóu,Fire Sprinkler,หัวสปริงเกลอร์ดับเพลิง
灭火系统,miè huǒ xì tǒng,Fire Suppression System,ระบบดับเพลิง (fire suppression)
火灾威胁,huǒ zāi wēi xié,Fire Threat,ภัยคุกคามจากอัคคีภัย
监护措施,jiān hù cuò shī,Fire Watch / Monitoring Measures,มาตรการเฝ้าระวังไฟระหว่างงานเชื่อม
灭火器材,miè huǒ qì cái,Fire-Fighting Equipment,อุปกรณ์ดับเพลิง
防火等级建筑结构,fáng huǒ děng jí jiàn zhù jié gòu,Fire-resistant-rated Construction,โครงสร้างอาคารที่มีระดับทนไฟ
防火密封胶,fáng huǒ mì fēng jiāo,Fireproof Sealant,กาวซีลกันไฟ
火焰蔓延等级,huǒ yàn màn yán děng jí,Flame Spread Rating,ระดับการลามไฟ
易燃易爆气体,yì rán yì bào qì tǐ,Flammable and Explosive Gas,แก๊สไวไฟและระเบิดได้ง่าย
可燃性气体,kě rán xìng qì tǐ,Flammable Gas,แก๊สไวไฟ
泡沫灭火器,pào mò miè huǒ qì,Foam Fire Extinguisher,ถังดับเพลิงชนิดโฟม
气体灭火全淹没系统,qì tǐ miè huǒ quán yān mò xì tǒng,Gaseous Agent Total Flooding System,ระบบดับเพลิงด้วยแก๊สแบบท่วมพื้นที่ทั้งหมด
哈龙替代气体,hā lóng tì dài qì tǐ,Halon Alternative,สารดับเพลิงทดแทนฮาลอน
动火证,dòng huǒ zhèng,Hot Work Permit,ใบอนุญาตงานก่อประกายไฟ (hot work permit)
动火审批手续,dòng huǒ shěn pī shǒu xù,Hot Work Permit Approval,ขั้นตอนขออนุมัติงานที่ก่อประกายไฟ (hot work)
